turn_idx,B1,A1,B2,A2,B3,A3,B4,A4,B5,A5,B6,A6,B7,A7,B8,A8,B9,A9,B10,A10,B11,A11,B12,A12,B13,A13,B14,A14,B15,A15
0,119443115.30394971,-22085809.231676653,-0.0031328966459681566,4.808424040815351e-19,-64.46200180150097,12.73287235716377,-0.010790771266747927,0.01160920783579076,5079.357105412232,-11778.10317864527,-10.248037616889254,-45.100619262041356,-78551829.53102866,7155766.583727788,63576.335405242826,11081.672696708147,10991651621.785414,-668562675295.3375,-648315159.7370658,-612516901.3533717,-640336165861067.9,322887937508918.44,213997408972.24207,778558216266.7773,-1.5543429791943593e+18,-2.1429793030693494e+17,83408201634061.08,-1580600359754992.8,-2.4840714544499974e+21,-3.450611752101365e+20
1,112902238.84681268,-80827841.34582505,-0.0031298663780431387,4.430196518016977e-19,102.88347658361542,33.40507623178399,-0.014968297833812297,0.022694020402996968,13671.57441546694,21767.343938236063,-17.48398926719986,23.17172286790014,96191407.4167049,103286694.64991888,-87084.97094721581,32113.9650407191,15895580697.898403,666845100513.4613,601981349.9277422,266920116.49954587,464662451222985.06,-436573414435351.5,-1203195135419.86,215794286729.05804,7.505820779048449e+17,-8.990269295450227e+17,54357757152932.984,2206186043516866.0,3.068182117074466e+21,-1.4136387974774422e+21
2,84042962.0805554,-27913439.069026355,-0.003129523273893334,1.0074819113721072e-19,24.887350193089773,-16.66004742438207,-0.003979173554266346,-0.0020428792797256355,-51611.71268999048,17823.989636386934,59.513794465713865,-26.061371659191156,-19412863.581143137,-170760844.70783493,113312.28845446937,-49457.96118386746,-128182996017.48608,-705804568444.7087,-741176574.3649127,-239342659.70495936,-357295704840231.8,2204619008344.956,887523712347.9581,-1148958350537.5425,1.1740628856538674e+17,4.05761832174611e+17,-1040031084794637.6,1023992818332053.4,1.0112649975805506e+21,2.2387772736393763e+20
3,89017943.49840257,-74752384.27356201,-0.0031355104387475415,-5.42278025761386e-19,154.4804525219147,-86.1921864678932,-0.009852716716027074,0.025317764011482672,106291.7552416881,673.4730969980566,-2.8820873926108694,5.7035085213138474,-18078277.140688095,157453198.8671652,-102351.69202156784,61327.498554281774,203012183237.073,657985908329.6097,881746683.3094934,234504960.66954684,214818385695794.2,-78134670290109.48,666578781188.5488,1984388755481.0508,-7.510898676478094e+17,4.264027520138968e+17,105218115896284.17,38437880513480.73,1.0456535733799774e+21,1.798038178900456e+21
4,100191125.91475151,63301303.03813586,-0.003133669203154258,-1.9512036898294722e-20,-70.60771462276682,-112.43383632767659,0.010566318613088642,-0.009225479911926154,-93379.6205654019,-85804.6615217699,30.004621714378693,-54.5001999564851,-55298264.27766485,-68326324.08756754,83594.27953540256,-89134.19728746075,-189434450943.5105,-703946950241.4535,-750214178.0033971,9470723.315159803,-400514749204338.4,450474992112285.7,-1163882260199.203,-733316381609.5424,-4.840152468937826e+17,-7.913105465159489e+17,145267585742322.28,-1264879513030810.0,-2.088959150212496e+21,9.909774320863756e+20
5,119377140.37445374,-50619406.03025857,-0.003125263172520619,7.668375456260031e-19,-35.49344610710796,-39.057535208953745,-0.016034589457607853,0.014640627308776995,30084.03817328715,36410.132138310466,-9.603469849923185,23.412325597453126,15808350.031511402,6522705.72952405,-39896.59780444191,21613.45692948669,198590171321.6982,628516355215.5051,758126765.8151752,-178916227.34866402,-120358076635168.17,-443023236581179.1,1010625530883.5016,-808927014760.6553,5.790173659264192e+17,7.723493093573302e+16,-676926732106811.8,1049078937891492.1,-6.789752710125457e+20,-5.4929165558712494e+20
6,28632941.407280125,-89816926.75192982,-0.003126552811025108,-2.6524662132521016e-19,-42.673413001485336,-51.27349179571482,0.00015308029711440287,-0.0020622657769716417,28298.78061582209,15334.132162817878,39.592968172343895,-23.87472622069231,-82844614.13450594,-20576932.150817502,56150.81375964184,-66378.40983756732,-236241739059.98712,-664792097450.3944,-770279609.376358,493190943.3013329,307893129950453.9,313759569955933.4,229931698629.6663,1398131985137.251,-6.188999270184138e+17,4.574521383302093e+17,-1451140115337593.5,139392756224920.84,-3.706443328397142e+20,-2.024342193833313e+21
7,139702829.57087654,-103283822.54536675,-0.003125125695444291,8.142717378845644e-19,18.59957359284823,29.235225354657064,-0.006010158885998719,0.018493709337383132,-23049.581775671893,20337.16653091122,-36.12699558908569,19.105712547930832,95139213.35326,157272404.18571228,-94982.38032114168,108180.46374231763,253525197459.7106,689159041820.5353,542950601.108054,-361404801.46981484,-263257449755232.0,-72602015443697.28,-1273216853325.878,-40815362884.09177,-4.166357992322605e+17,-6.061881240570907e+17,1235147589001968.0,198272787782999.6,1.3103666018179757e+21,-6.222857421576651e+20
8,108044088.41405708,-28165230.398539834,-0.0031362808920668136,1.9872851077872645e-19,-25.213884268540426,10.055364267969749,-0.011832267364826107,-0.0018363144614564123,-96116.41839707573,-22543.24651407058,44.88655382102974,-67.24325760782578,-76666327.73392269,-132944697.16304432,144808.34216171567,-209777.46694687734,-414814845170.9312,-466462033285.74994,-423786932.9955697,412335798.0639476,65339840944626.52,80563885658398.66,401130984150.095,-1354439078889.8416,6.482611442027176e+17,2.4753165488929658e+17,-316369961372791.7,1331839136421426.8,1.7285394762434153e+21,7.17885479372074e+20
9,-2060341.0189117342,-94350835.3213657,-0.0031239366185371667,5.700084448912987e-19,192.00428968246737,-54.61106706229955,-0.011787793085353378,0.03016122926738469,100417.11857934737,-720.0026522041562,-37.976470623104156,19.744417375416543,114154428.35981785,38222226.83645664,-91110.58627787691,140352.56793286308,496587232409.9031,399366297729.805,471685806.60652304,-472069708.48274094,1601495217485.8076,-232459616629723.34,660464418361.042,962526965326.0328,-1.8911243389472877e+17,8.216538612482853e+17,-759051291309115.1,-527670021088642.56,-5.216752375386933e+20,2.1073472037869008e+21
