Date	Options	A_MRU Level (rad)	B_Top Plate Level (rad)	Rref(m)	Lcoil(m)	I(A)	I FGC(A)	x (mm)	y (mm)	B1 (T)	A1 (T)	B2 (T)	Angle (rad)	B3 (T)	A3 (T)	B4 (T)	A4 (T)	B5 (T)	A5 (T)	B6 (T)	A6 (T)	B7 (T)	A7 (T)	B8 (T)	A8 (T)	B9 (T)	A9 (T)	B10 (T)	A10 (T)	B11 (T)	A11 (T)	B12 (T)	A12 (T)	B13 (T)	A13 (T)	B14 (T)	A14 (T)	B15 (T)	A15 (T)	
20190718_142335	dri rot 	0.000036	-0.000002	1.000000	1.322090	0.003869	0.003154	0.000000	0.000000	2.496990e+009	2.038786e+009	-3.139627e-003	-0.003109	6.460044e+001	-1.276042e+001	-1.081560e-002	1.163608e-002	-5.090928e+003	1.180538e+004	-1.027581e+001	-4.522004e+001	7.875991e+007	-7.176010e+006	6.377596e+004	1.111517e+004	-1.101111e+010	6.706600e+011	-6.507475e+008	-6.147849e+008	6.427146e+014	-3.241098e+014	2.149611e+011	7.819753e+011	1.561185e+018	2.151887e+017	8.378080e+013	-1.588699e+015	2.477955e+021	4.626116e+020	
20190718_142336	dri rot 	0.000036	-0.000002	1.000000	1.322090	0.003869	0.003154	0.000000	0.000000	3.573818e+009	8.982295e+008	-3.136590e-003	-0.001144	-1.031047e+002	-3.347642e+001	-1.500269e-002	2.274648e-002	-1.370332e+004	-2.181748e+004	-1.753002e+001	2.323337e+001	-9.644810e+007	-1.035589e+008	-8.735751e+004	3.221631e+004	-1.596040e+010	-6.689364e+011	6.042322e+008	2.679007e+008	-4.663827e+014	4.382144e+014	-1.208479e+012	2.167788e+011	-7.538527e+017	9.030048e+017	5.471242e+013	2.217484e+015	-3.107696e+021	1.368044e+021	
20190718_142337	dri rot 	0.000036	-0.000002	1.000000	1.322090	0.003869	0.003154	0.000000	0.000000	3.040926e+009	5.190219e+008	-3.142246e-003	0.000561	-2.485354e+001	1.682545e+001	-4.002469e-003	-2.019864e-003	5.157384e+004	-1.831349e+004	5.939612e+001	-2.675062e+001	2.154384e+007	1.709643e+008	1.129677e+005	-5.118711e+004	1.396338e+011	7.059227e+011	-7.479989e+008	-2.272821e+008	3.585202e+014	-9.062178e+012	8.671887e+011	-1.172333e+012	-1.270919e+017	-4.047802e+017	-1.020031e+015	1.054343e+015	-1.018320e+021	-2.163748e+020	
20190718_142338	dri rot 	0.000036	-0.000002	1.000000	1.322090	0.011876	0.003154	0.000000	0.000000	4.381320e+008	3.114514e+009	-3.140401e-003	-0.001478	7.075979e+001	1.126751e+002	1.059064e-002	-9.246863e-003	9.359600e+004	8.600174e+004	3.008343e+001	-5.464506e+001	5.544599e+007	6.850650e+007	8.385481e+004	-8.941538e+004	1.900446e+011	7.061508e+011	-7.530111e+008	9.524183e+006	4.019953e+014	-4.521658e+014	-1.169022e+012	-7.365062e+011	4.861700e+017	7.947739e+017	1.459675e+014	-1.271364e+015	2.121131e+021	-9.494693e+020	
20190718_142339	dri rot 	0.000036	-0.000002	1.000000	1.322090	0.003869	0.003154	0.000000	0.000000	3.073446e+009	1.547745e+009	-3.131977e-003	-0.002860	3.556988e+001	3.914134e+001	-1.607150e-002	1.467451e-002	-3.015384e+004	-3.649389e+004	-9.628617e+000	2.347452e+001	-1.585027e+007	-6.539670e+006	-4.002126e+004	2.168200e+004	-1.992272e+011	-6.304834e+011	7.609492e+008	-1.796017e+008	1.208192e+014	4.446717e+014	1.015045e+012	-8.125140e+011	-5.815656e+017	-7.755552e+016	-6.803576e+014	1.054476e+015	6.582031e+020	5.808031e+020	
20190718_142340	dri rot 	0.000036	-0.000002	1.000000	1.322090	0.019884	0.003154	0.000000	0.000000	2.309522e+009	-9.618628e+008	-3.133269e-003	-0.001433	4.276523e+001	5.138353e+001	1.534234e-004	-2.067021e-003	-2.836429e+004	-1.536921e+004	3.969761e+001	-2.393850e+001	8.306462e+007	2.063012e+007	5.632574e+004	-6.658766e+004	2.369977e+011	6.668720e+011	-7.731398e+008	4.950485e+008	-3.090499e+014	-3.149208e+014	2.309839e+011	1.404273e+012	6.216057e+017	-4.594839e+017	-1.458568e+015	1.401573e+014	3.289069e+020	2.042218e+021	
20190718_142401	dri rot 	0.000038	-0.000003	1.000000	1.322090	0.003869	4.999099	0.000000	0.000000	2.823896e+009	-4.265569e+008	-3.139732e-003	-0.002966	7.067068e+001	-8.572990e+000	-5.098316e-003	1.848947e-002	2.236817e+004	-8.370508e+003	-3.697680e+001	-1.135491e+001	-2.937485e+007	-2.157858e+007	-9.815913e+004	1.292145e+005	-1.771247e+011	-4.781981e+009	5.104605e+008	-9.459746e+008	2.025029e+014	3.977143e+013	1.342353e+011	1.236419e+010	-9.446665e+017	1.565800e+018	-1.703562e+015	-1.722391e+014	-7.644411e+020	1.923473e+021	
20190718_142405	dri rot 	0.000038	-0.000003	1.000000	1.322090	5.000534	4.999099	0.000000	0.000000	-2.998937e+009	3.330508e+009	1.162395e-001	-0.003400	-5.548679e+001	-5.427621e+002	6.970417e-003	-5.750010e-002	2.081219e+004	1.102728e+004	1.905757e+001	-5.238477e+001	1.434081e+007	-2.980415e+007	1.844274e+005	-1.223334e+005	-2.035117e+010	6.375400e+011	-6.634307e+008	2.236527e+008	-3.053840e+014	5.367807e+013	1.038836e+011	7.189320e+011	6.990211e+017	-1.058027e+018	-2.566089e+013	-4.560179e+014	1.238652e+021	1.254232e+020	
20190718_142406	dri rot 	0.000038	-0.000003	1.000000	1.322090	5.008542	4.999099	0.000000	0.000000	-3.442572e+009	3.340581e+009	1.162402e-001	-0.003345	-1.373805e+002	-6.157859e+002	-1.542805e-002	-4.626757e-002	2.261367e+004	-2.434706e+004	-5.764592e+001	5.286926e+001	-6.079767e+007	-8.073889e+007	-1.490188e+005	6.768267e+004	-3.614371e+011	-7.007482e+011	4.889968e+008	-2.466177e+008	-2.099988e+012	-1.378672e+014	-6.220223e+011	-1.693081e+011	8.089548e+017	5.857847e+017	1.513919e+015	2.005319e+015	1.736838e+018	1.678210e+021	
20190718_142407	dri rot 	0.000038	-0.000003	1.000000	1.322090	5.016549	4.999099	0.000000	0.000000	-2.579489e+009	2.172337e+009	1.162439e-001	-0.003377	-1.311265e+002	-5.640289e+002	-2.454442e-002	-8.064286e-002	1.131582e+005	-9.728033e+003	5.662485e+001	1.350425e+001	1.254417e+008	1.773304e+007	9.813595e+004	-1.727541e+005	3.886980e+011	5.978229e+011	-5.523668e+008	4.340746e+008	1.929249e+014	-1.994744e+014	7.740448e+010	-6.305215e+011	-4.944518e+016	-6.905576e+017	-1.653636e+015	1.097364e+015	-1.666212e+021	-2.209670e+021	
20190718_142408	dri rot 	0.000038	-0.000003	1.000000	1.322090	5.000534	4.999099	0.000000	0.000000	-1.075850e+009	1.849618e+009	1.162439e-001	-0.003383	-3.087491e+002	-5.181131e+002	-1.261670e-002	-2.717147e-002	-9.037582e+004	-6.252179e+004	1.911724e+001	9.251235e+000	-8.918085e+007	-4.656496e+007	-5.432150e+004	1.949238e+005	-7.323565e+011	-3.497626e+011	3.686879e+008	-5.806585e+008	-2.805931e+014	2.648733e+014	6.492567e+011	7.447938e+011	2.980496e+017	-1.390894e+017	-8.296484e+014	-7.641777e+014	-8.619438e+020	-1.870870e+021	
20190718_142409	dri rot 	0.000038	-0.000003	1.000000	1.322090	5.008542	4.999099	0.000000	0.000000	-2.325119e+009	6.446576e+008	1.162492e-001	-0.003342	-6.683027e+001	-4.820749e+002	-7.517337e-003	-6.162047e-002	1.575953e+005	2.105331e+004	-1.548927e+001	-6.437330e+001	9.032458e+007	5.139332e+007	1.014034e+005	-3.434098e+005	5.659703e+011	2.243363e+011	-2.892673e+008	6.309125e+008	-2.974954e+014	-5.927191e+014	-1.553756e+012	6.438435e+011	4.880513e+017	5.580638e+017	-6.625620e+014	3.935528e+013	1.070576e+021	-1.691646e+021	
20190718_142431	dri rot 	0.000042	-0.000002	1.000000	1.322090	5.016549	9.998032	0.000000	0.000000	-3.948321e+009	1.874188e+009	1.162419e-001	-0.003344	-8.373776e+001	-4.383345e+002	-2.062985e-002	-5.408734e-002	3.982369e+004	2.190268e+004	-1.046467e+001	1.140197e+001	-7.312937e+006	8.794114e+007	3.474095e+004	-3.071071e+004	-4.380294e+009	-2.554003e+011	-7.726441e+008	-7.368806e+008	-5.379871e+014	-1.388764e+014	1.288157e+012	-5.856951e+011	-7.832425e+017	8.956417e+015	2.297070e+015	8.269052e+014	9.712652e+020	-3.363941e+020	
