run_id,channel,I_set,I_meas_A,B1_mean_T,B1_std_T,golden_B1_mean_T,worst_absdiff_T,worst_order,n_turns
0,H,10.0,1001.1517657860644,-0.0009713663102723433,3.472150690418803e-08,-0.0009713663102723001,8.944667923005412e-17,1,10
1,H,-10.0,1000.7048020911191,0.0008392381605794275,2.32341589320026e-08,0.0008392381605793699,8.53267109746092e-17,1,10
2,H,6.667,1000.3405609323299,-0.0006645798702229601,3.7765507875960506e-08,-0.0006645798702229,9.985502008591496e-17,1,10
3,H,-6.667,999.9647978198234,0.0005419081387307306,1.819568663192085e-08,0.0005419081387306801,8.803721640582296e-17,1,10
4,H,4.444,999.4717492765528,-0.0004630510562092601,2.0533071499353867e-08,-0.00046305105620920994,9.595189226496714e-17,1,10
5,H,-4.444,999.1085745071705,0.0003389450725126179,1.2738392904380657e-08,0.00033894507251256995,9.676504389433127e-17,1,10
6,H,2.963,998.9090618288404,-0.0003302694311457085,2.4304134267580385e-08,-0.00033026943114566,9.698188432882837e-17,1,10
7,H,-2.963,998.8672737984396,0.00020300521329844564,1.5887979905413885e-08,0.00020300521329841,9.94484442712329e-17,1,10
8,H,1.975,998.6578187110133,-0.0002415370247914747,1.361716150943256e-08,-0.00024153702479142998,9.324138683375338e-17,1,10
9,H,-1.975,998.3778375087568,0.0001122126432793377,7.75846594938966e-09,0.00011221264327927001,9.40138808816493e-17,1,10
10,H,1.317,998.2142685702162,-0.00018225303206745005,1.6077818756181902e-08,-0.00018225303206738998,9.920449878242366e-17,1,10
11,H,-1.317,998.1491579692629,5.181309958490394e-05,7.401129759903402e-09,5.181309958490387e-05,4.472333961502706e-19,1,10
12,H,0.878,998.1858222798146,-0.00014246853608009427,1.1531399846247647e-08,-0.00014246853608003998,9.901476340223869e-17,1,10
13,H,-0.878,997.9563056237548,1.1669269061558001e-05,4.790759327149024e-09,1.1669269061557993e-05,3.2166076171982055e-19,12,10
14,H,0.585,997.99100460391,-0.00011566509699497008,1.1219806979302507e-08,-0.00011566509699492001,9.61009700636839e-17,1,10
15,H,-0.585,997.9163060865831,-1.544923362983911e-05,3.402154936039948e-09,-1.54492336298391e-05,1.402898318889935e-19,12,10
