order,dabs_exclude_last_T,dabs_rotate_all_T
1,8.944667923005412e-17,8.944667923005412e-17
2,2.371692252312041e-20,2.371692252312041e-20
3,1.5786576554452023e-19,1.5786576554452023e-19
4,8.867376166568457e-21,8.867376166568457e-21
5,1.7364175418713157e-20,1.7364175418713157e-20
6,3.22931311140702e-21,3.22931311140702e-21
7,1.5491438511893102e-20,1.5491438511893102e-20
8,2.771716796542685e-20,2.771716796542685e-20
9,1.5762753752810495e-20,1.5762753752810495e-20
10,3.0652004778764994e-20,3.0652004778764994e-20
11,2.1996386849010112e-20,2.1996386849010112e-20
12,5.431598774268201e-20,5.431598774268201e-20
13,1.3803990062284926e-20,1.3803990062284926e-20
14,2.136772958346981e-20,2.136772958346981e-20
15,3.9807239798501904e-20,1.84275561271996e-07
